undergraduate_institution,institution_name,city,state_or_province,total_applicants,academic_year,source_table,source_file,source_excel_row
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,1272,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,6
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,1072,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,7
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,896,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,8
"University of Michigan-Ann Arbor, Ann Arbor, MI",University of Michigan-Ann Arbor,Ann Arbor,MI,864,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,9
"University of California-San Diego, La Jolla, CA",University of California-San Diego,La Jolla,CA,739,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,10
"University of California-Berkeley, Berkeley, CA",University of California-Berkeley,Berkeley,CA,689,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,11
"Texas A & M University, College Station, TX",Texas A & M University,College Station,TX,672,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,12
"The Ohio State University Main Campus, Columbus, OH",The Ohio State University Main Campus,Columbus,OH,583,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,13
"University of Wisconsin-Madison, Madison, WI",University of Wisconsin-Madison,Madison,WI,547,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,14
"University of Georgia, Athens, GA",University of Georgia,Athens,GA,528,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,15
"University of South Florida, Tampa, FL",University of South Florida,Tampa,FL,512,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,16
"University of North Carolina at Chapel Hill, Chapel Hill, NC",University of North Carolina at Chapel Hill,Chapel Hill,NC,504,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,17
"University of California-Davis, Davis, CA",University of California-Davis,Davis,CA,495,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,18
"University of Washington, Seattle, WA",University of Washington,Seattle,WA,495,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,19
"The University of Texas at Dallas, Richardson, TX",The University of Texas at Dallas,Richardson,TX,486,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,20
"University of Virginia, Charlottesville, VA",University of Virginia,Charlottesville,VA,478,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,21
"Johns Hopkins University, Baltimore, MD",Johns Hopkins University,Baltimore,MD,470,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,22
"University of California-Irvine, Irvine, CA",University of California-Irvine,Irvine,CA,461,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,23
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,459,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,24
"Rutgers University - New Brunswick, New Brunswick, NJ",Rutgers University - New Brunswick,New Brunswick,NJ,443,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,25
"University of Central Florida, Orlando, FL",University of Central Florida,Orlando,FL,430,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,26
"Baylor University, Waco, TX",Baylor University,Waco,TX,423,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,27
"University of Pittsburgh, Pittsburgh, PA",University of Pittsburgh,Pittsburgh,PA,415,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,28
"Emory University, Atlanta, GA",Emory University,Atlanta,GA,411,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,29
"University of Maryland-College Park, College Park, MD",University of Maryland-College Park,College Park,MD,403,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,30
"Washington University in St. Louis, St. Louis, MO",Washington University in St. Louis,St. Louis,MO,389,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,31
"University of Arizona, Tucson, AZ",University of Arizona,Tucson,AZ,386,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,32
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,385,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,33
"Michigan State University, East Lansing, MI",Michigan State University,East Lansing,MI,370,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,34
"University of Minnesota, Minneapolis, MN",University of Minnesota,Minneapolis,MN,368,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,35
"University of Pennsylvania, Philadelphia, PA",University of Pennsylvania,Philadelphia,PA,368,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,36
"University of Illinois at Urbana-Champaign, Champaign, IL",University of Illinois at Urbana-Champaign,Champaign,IL,362,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,37
"Florida State University, Tallahassee, FL",Florida State University,Tallahassee,FL,357,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,38
"Louisiana St University and Agricultural and Mechanical Col, Baton Rouge, LA",Louisiana St University and Agricultural and Mechanical Col,Baton Rouge,LA,351,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,39
"University of Southern California, Los Angeles, CA",University of Southern California,Los Angeles,CA,338,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,40
"Brigham Young University, Provo, UT",Brigham Young University,Provo,UT,334,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,41
"Boston University, Boston, MA",Boston University,Boston,MA,331,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,42
"New York University, New York, NY",New York University,New York,NY,331,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,43
"Stony Brook University, Stony Brook, NY",Stony Brook University,Stony Brook,NY,325,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,44
"Brown University, Providence, RI",Brown University,Providence,RI,320,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,45
"Vanderbilt University, Nashville, TN",Vanderbilt University,Nashville,TN,319,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,46
"Florida International University, Miami, FL",Florida International University,Miami,FL,315,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,47
"Duke University, Durham, NC",Duke University,Durham,NC,314,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,48
"University of Notre Dame, Notre Dame, IN",University of Notre Dame,Notre Dame,IN,314,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,49
"University of Houston, Houston, TX",University of Houston,Houston,TX,306,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,50
"University of California-Riverside, Riverside, CA",University of California-Riverside,Riverside,CA,301,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,51
