undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"Howard University, Washington, DC",Howard University,Washington,DC,Black or African American,127,133,95.49,2.1,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,6
"University of Central Florida, Orlando, FL",University of Central Florida,Orlando,FL,Black or African American,98,430,22.79,1.6,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,7
"Xavier University of Louisiana, New Orleans, LA",Xavier University of Louisiana,New Orleans,LA,Black or African American,98,102,96.08,1.6,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,8
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,Black or African American,94,1072,8.77,1.6,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,9
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,Black or African American,82,896,9.15,1.4,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,10
"University of South Florida, Tampa, FL",University of South Florida,Tampa,FL,Black or African American,77,512,15.04,1.3,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,11
"Georgia State University, Atlanta, GA",Georgia State University,Atlanta,GA,Black or African American,70,155,45.16,1.2,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,12
"Spelman College, Atlanta, GA",Spelman College,Atlanta,GA,Black or African American,70,70,100.0,1.2,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,13
"University of Georgia, Athens, GA",University of Georgia,Athens,GA,Black or African American,69,528,13.07,1.1,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,14
"University of Maryland-College Park, College Park, MD",University of Maryland-College Park,College Park,MD,Black or African American,64,403,15.88,1.1,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,15
"The Ohio State University Main Campus, Columbus, OH",The Ohio State University Main Campus,Columbus,OH,Black or African American,60,583,10.29,1,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,16
"Johns Hopkins University, Baltimore, MD",Johns Hopkins University,Baltimore,MD,Black or African American,59,470,12.55,1,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,17
"Florida Atlantic University-Boca Raton, Boca Raton, FL",Florida Atlantic University-Boca Raton,Boca Raton,FL,Black or African American,54,169,31.95,0.9,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,18
"University of North Carolina at Chapel Hill, Chapel Hill, NC",University of North Carolina at Chapel Hill,Chapel Hill,NC,Black or African American,53,504,10.52,0.9,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,19
"New York University, New York, NY",New York University,New York,NY,Black or African American,52,331,15.71,0.9,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,20
"University of Pennsylvania, Philadelphia, PA",University of Pennsylvania,Philadelphia,PA,Black or African American,52,368,14.13,0.9,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,21
"University of Maryland-Baltimore County, Baltimore, MD",University of Maryland-Baltimore County,Baltimore,MD,Black or African American,50,140,35.71,0.8,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,22
"University of Houston, Houston, TX",University of Houston,Houston,TX,Black or African American,49,306,16.01,0.8,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,23
"Emory University, Atlanta, GA",Emory University,Atlanta,GA,Black or African American,48,411,11.68,0.8,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,24
"Baylor University, Waco, TX",Baylor University,Waco,TX,Black or African American,46,423,10.87,0.8,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,25
"Rutgers University - New Brunswick, New Brunswick, NJ",Rutgers University - New Brunswick,New Brunswick,NJ,Black or African American,45,443,10.16,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,26
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,Black or African American,45,1272,3.54,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,27
"University of North Texas, Denton, TX",University of North Texas,Denton,TX,Black or African American,44,130,33.85,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,28
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,Black or African American,43,385,11.17,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,29
"University of Minnesota, Minneapolis, MN",University of Minnesota,Minneapolis,MN,Black or African American,43,368,11.68,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,30
"University of Pittsburgh, Pittsburgh, PA",University of Pittsburgh,Pittsburgh,PA,Black or African American,43,415,10.36,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,31
"University of Miami, Coral Gables, FL",University of Miami,Coral Gables,FL,Black or African American,42,289,14.53,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,32
"University of Virginia, Charlottesville, VA",University of Virginia,Charlottesville,VA,Black or African American,42,478,8.79,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,33
"Vanderbilt University, Nashville, TN",Vanderbilt University,Nashville,TN,Black or African American,42,319,13.17,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,34
"Brown University, Providence, RI",Brown University,Providence,RI,Black or African American,41,320,12.81,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,35
"Florida Agricultural and Mechanical University, Tallahassee, FL",Florida Agricultural and Mechanical University,Tallahassee,FL,Black or African American,40,40,100.0,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,36
"Florida International University, Miami, FL",Florida International University,Miami,FL,Black or African American,40,315,12.7,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,37
